SEXO                            ,EDAD                            ,MES                             ,ESTATURA                        ,PESO                            ,POLITICA                        ,DIGITO                          ,RESIDENCIA                      ,TRANSPORTE                      ,TIEMPO                          ,PROBLEMA                        ,Col_12                          ,Col_13                          ,Col_14                          ,Col_15                          ,Col_16                          ,Col_17                          ,Col_18                          ,Col_19                          ,Col_20                          
chicos               ,22            ,3             ,172           ,70            ,pasan                ,7             ,piso                 ,a pie                ,9             ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,3             ,167           ,61            ,pasan                ,7             ,otra                 ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,1             ,174           ,63            ,derecha              ,1             ,familia              ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,11            ,173           ,66            ,derecha              ,7             ,familia              ,compañero            ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,19            ,12            ,174           ,63            ,                     ,8             ,residencia           ,a pie                ,20            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,5             ,169           ,75            ,centro               ,7             ,piso                 ,a pie                ,15            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,6             ,178           ,56            ,izquierda            ,9             ,piso                 ,a pie                ,13            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,179           ,63            ,                     ,5             ,piso                 ,a pie                ,12            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,4             ,178           ,58            ,izquierda            ,7             ,familia              ,coche                ,60            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,186           ,84            ,izquierda            ,3             ,familia              ,t publico            ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,4             ,174           ,72            ,derecha              ,3             ,familia              ,coche                ,25            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,7             ,174           ,64            ,pasan                ,8             ,otra                 ,a pie                ,5             ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,2             ,172           ,59            ,pasan                ,2             ,familia              ,t publico            ,55            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,6             ,180           ,66            ,derecha              ,1             ,familia              ,coche                ,40            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,8             ,180           ,62            ,pasan                ,3             ,residencia           ,a pie                ,10            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,6             ,176           ,80            ,derecha              ,8             ,familia              ,coche                ,40            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
